"UNITID","OFCODE","#BDRM","#BATHS","AREA","LOCN","STADR","DESC1","DESC2","DESC3","DESC4","DESC5","DESC6","DESC7","GRADE","SOFABD","MAXOCP","FIREPL","PARKSP","BARBCU","WSHDRY","SECDEP","2DA_T1","XDA_T1","WEK_T1","MIN_T1","2DA_T2","XDA_T2","WEK_T2","MIN_T2","2DA_T3","XDA_T3","WEK_T3","MIN_T3","2DA_T4","XDA_T4","WEK_T4","MIN_T4","2DA_T5","XDA_T5","WEK_T5","MIN_T5","2DA_T6","XDA_T6","WEK_T6","MIN_T6","BR1BED","BR2BED","BR3BED","BR4BED","BR5BED","BR6BED","BR1LOC","BR2LOC","BR3LOC","BR4LOC","BR5LOC","BR6LOC","BR1TV","BR2TV","BR3TV","BR4TV","BR5TV","BR6TV","VIRTOUR","INTCMT1","INTCMT2","INTCMT3","WWWCMT","GSTCMT","UNTTYPE","DATEADD","DATECHG","COMMISN","RSRVAMT","MNTHFEE","CLENCRG","CLENFEE","GRSRENT","NETRENT","OWNREXP","RENTDAY","OWNRDAY","FRNDDAY","OMNTDAY","MANTDAY","CLUBDAY","GESTDAY","BLOCKDT","BFYACCT","BFYPHON","LATITUD","LONGTUD"
"CD C0209","IVO","1","1","753","CD","#9COEURDULAC/136 JUANITA","CTUB","POOL","NBCH","BIKE","NCAS","NSMO","","B+","1","4","ROCK","2PP","COMM","YES","100","316","92","776","1","362","115","937","1","362","115","937","1","408","138","1098","1","468","168","1308","1","552","210","1602","1","1K","","","","","","Down","","","","","","No   ","","","","","","http://fusion.realtourvision.com/30016","#9 136 JUANITA(IV)COEURDULAC;UPSCALE CONDO","WLK TO BEACHLDNG/2;YRRND SAUNA/CTUB;SUMPOOL ONLY;","STKBLE WASHER/DRYER; 3 BLKS HYATT; 3 MI SKI; QUIET","Coeur-Du-Lac Town house located just a short walk from the private beach at Incline Village!  This one-story property is comfortably furnished and has everything to make a great vacation at Tahoe.  There is a CD Stereo in the living room, as well as a TV & VCR.  The complex has a year round sauna and community hot tub, as well as a Summer pool for your enjoyment.  Located within walking distance to the nightlife and dining of the Hyatt Casino and only 5 minutes drive to either the Golf Courses of Incline, or Diamond Peak Ski Area, this property is the ticket for your next trip to Lake Tahoe! ","Great place Thanks!!! - Inman Party, March 2007 ","RENTAL  ","12/07/01","12/19/13","35","500","0","88.00","132.00","1881.00","1222.65","0.00","11","0","0","0","0","0","0","0","va1027","Y","39.242798","-119.950183"
"CD C0622","IVO","2","2","1200","CD","#22COEURDULAC/136 JUANITA","CTUB","POOL","NBCH","NCAS","INET","NSKI","NSMO","C ","0","6","ROCK","2PP","COMM","YES","100","371","100","871","1","421","125","1046","1","421","125","1046","1","471","150","1221","1","547","188","1487","1","671","250","1921","1","1Q","1Q2S","","","","","Down","Loft","","","","","No   ","No   ","","","","","http://fusion.realtourvision.com/13753","#22 136 JUANITA(IV)COEURDULAC;COZY CONDO/WALK","TO BEACH:YRRND SAUNA/CTUB;SUMPOOL,INTERNET","4 BLKS/CASINO;3MI SKI; NR FOREST;2CARS MAX \CDL22","Coeur-Du-Lac Town house located just a short walk from the private beach at Incline Village! This property is comfortably furnished and has everything to make a great vacation at Tahoe. There is a TV & VCR in the living room. Second bedroom is a loft. Complex has a community hot tub  and pool during the summer months. Walking distance to the  Hyatt and nightlife of Incline Village. This is sure to  please. Don't let it pass you by! ","","RENTAL  ","12/07/01","11/25/13","35","500","0","114.00","171.00","2702.00","1711.30","14.00","13","0","0","0","0","0","0","0","va1027","Y","39.242312","-119.950104"
"CO H0653","SSO","3","1","1000","CO","1153 NOTTAWAY","WIFI","NSMO","WDSY","","","","","C ","0","6","WDSTV","2D","CHAR","YES","100","317","88","757","1","339","110","834","1","361","110","911","1","405","132","1065","1","471","165","1296","1","581","220","1681","1","1Q","1D","1K1D2S","","","","Down","Down","Loft","","","","No   ","No   ","VCR  ","","","","http://fusion.realtourvision.com/48510","1153 NOTTAWAY(OP)RUSTIC CHALET IN WDS W/ MTN","VWS;A-FRAME CHLET;DNG/4;BDRM#3=LOFT/1K,1D,2T","SLEEP6 ONLY!DIRT DRVWAY;COSY DECOR;NO DISHWASHER","This rustic A-Frame chalet in the woods is perfect for a small family.  The cozy living space has a small deck with mountain views. The third bedroom is an open loft with plenty of sleeping space. This home is available for a maximum party of 6.  Unpaved parking is available in front of the chalet.  Located approximately 10 minutes away from dining or casino nightlife. Please note:  This property does not have a dishwasher. VRP# 0368 ","","RENTAL  ","5/06/97","11/13/13","35","500","0","94.00","141.00","4862.00","2990.90","520.38","33","0","0","5","1","0","0","0","va1005","Y","38.882796","-119.991127"
"CO H0679","SSO","2","1","864","CO","775 KIOWA DR","BIKE","WDSY","NSMO","","","","","B-","1","6","WDSTV","2PP","GAS","YES","100","310","88","750","1","332","110","827","1","354","110","904","1","398","132","1058","1","464","165","1289","1","574","220","1674","1","1Q","2S","","","","","Down","Down","","","","","No   ","No   ","","","","","http://fusion.realtourvision.com/56842","775 KIOWA(UT)ECON SECLUDED CABIN;QUIET;PEACEFUL","NEIGHBORHOOD;GOOD VALUE FOR FAMILY;1 LEVEL;NO","DW;DNG/6;LRG BCK DECK;LRG WOODED BCK YRD/SNWPLY","Relax in this quaint cabin set in the woods. Located off the beaten track, this cabin features a large back deck with lots of seating and a huge wooded backyard area for the children to play. This home is great for those seeking a good value in a quiet mountain setting.  Only approximately 20 minutes away from skiing or casino nightlife. Please note: This home does not have a dishwasher. VRP# 0369 ","We had a great time, thank you!! - Quintana Party, Feburary  2007 ","RENTAL  ","8/04/90","8/23/12","35","500","0","89.00","134.00","4554.00","2922.70","372.40","26","3","0","0","0","0","0","0","va1005","Y","38.866548","-120.032940"
"CO H0731","SSO","2","1","1056","CO","831 KEKIN ST","PETS","INET","WDSY","NSMO","","","","B ","2","7","WDSTV","2D+2G","GAS","YES","100","319","80","719","1","359","100","859","1","359","100","859","1","399","120","999","1","459","150","1209","1","559","200","1559","1","1Q","1S1H","","","","","Down","Down","","","","","DVD  ","No   ","","","","","http://fusion.realtourvision.com/68262","831 KEKIN ST(CV)'VERY CUTE HOME W/LANDSCAPED YD,","PET FREINDLY W/$200 DEP;INTERNET CONNECTION W/PLUG","ETHERNET ONLY;DIN4/BAR3;NO DSHWSHR;GAS BBQ;","Take a look at this adorable cabin!  Located for year round  fun only 15 minutes to 2 major ski resorts and only 30  minutes from Kirkwood, this wonderful home has high speed  internet access, allows pets with and additonal $200 refundable deposit, and has no neighbors on 3 sides for perfect privacy.  Very affordable and very comfortable, this home is sure to please!VRP#1635 ","","RENTAL  ","5/26/10","7/06/12","35","500","0","106.00","159.00","3300.00","2109.00","44.00","33","11","0","0","0","0","0","0","va1005","Y","38.837631","-120.026185"
"CO H0800","SSO","3","2","1680","CO","1800 CRYSTAL AIR","HTUB","VIEW","WIFI","NSMO","GOLF","GRUP","","A-","0","8","GASLOG","2G+1D","GAS","YES","175","492","156","1272","1","570","195","1545","1","570","195","1545","1","648","234","1818","1","766","293","2231","1","960","390","2910","1","1Q","1Q","1Q2S","","","","Up  ","Down","Down","","","","No   ","No   ","VCR  ","","","","http://fusion.realtourvision.com/14932","1800 CRYSTAL AIR(OP)ELKS CLUB;GREAT GOLF VIEWS!","TAHOE PINE CABIN;NOHAB;WD FLRS;DIN6/3BAR;TV/DVD IN","LVNG RM;10-15 MIN/CAS/HV/BCH;GRT HOME","Beautiful nestled among the pines with wonderful views of the mountains and valley below.  A 42' Flat Screen TV highlights the living room, there is a wonderful back deck with hot tub, downstairs are the extra bedrooms totalling 8 people, and you will be only 10-15 minutes from all of Lake Tahoe's  attractions!  VRP# 0956 ","Lovely time at home!!! - DePriest Party, Feburary 2007 ","RENTAL  ","7/09/03","7/06/12","35","500","0","120.00","180.00","10376.50","6705.72","1150.94","45","10","0","0","0","0","0","0","va1005","Y","38.864569","-120.006194"
"CO H0821","SSO","3","2","1600","CO","2150 LINDENWOOD DR.","HTUB","WIFI","NSMO","JACZ","WDSY","","","A-","1","8","GASLOG","1G+2D","GAS","YES","175","420","120","1020","1","496","175","1286","1","530","175","1405","1","600","210","1650","1","706","263","2021","1","880","350","2630","1","1K","1Q","1Q","","","","Up  ","Down","Down","","","","Color","No   ","No   ","","","","http://fusion.realtourvision.com/87243","2150 LINDENWOOD(MY)CUTE COTTAGE W/HTUB!;DS LV;DIN","8;JACA IN MBR;FNCD BK YD;DVD IN LR;15-MIN 2 SIERRA","10-15 MIN CAS,BCH OR HV;MASTER SUITE US; 1QHAB","Lake Tahoe Rental Cottage with Hot Tub!  Located only 15  minutes from Skiing at Sierra at Tahoe, this lovely  downstairs living home, is located only a short distance to  dining or shopping.  The upstairs master suite has a vaulted ceiling and a jetted tub.  In the living room you have a  large TV/DVD and a gas log fireplace for ambiance!  The  dining table can seat eight and it will be a pleasure to  cook in the kitchen with solid surface counters and flat top range.  Finally, in the back yard, you'll be able to relax  in your very own Jacuzzi hot tub!  Only 10-15 minutes from  the beaches of Lake Tahoe, Skiing at Heavenly or the  exciting casino action, this home will make an outstanding  selection for your next Tahoe Vacation! VRP# 0999 ","","RENTAL  ","11/24/03","1/30/14","35","500","0","120.00","180.00","8832.00","5549.20","1285.32","40","0","0","0","0","0","0","0","va1005","Y","38.850003","-120.017731"
"CO H0861","SSO","4","2","1400","CO","1461 PIONEER TRAIL","HTUB","NSMO","WIFI","WDSY","PETS","","","B+","0","8","ROCK","2PP","GAS","YES","100","444","140","1144","1","480","200","1270","1","614","225","1739","1","614","225","1739","1","690","263","2005","1","864","350","2614","1","1Q","1Q","1Q","2S","","","Up  ","Down","Down","Loft","","","Color","No   ","No   ","VCR  ","","","http://fusion.realtourvision.com/53944","1461 PIONEER TRL(OP)*NSMO*COZY PROWFRNT CABIN","UPSCLE DCR;DWN LVG/CTV/VCR/STER/CD;WRPARND DECK W/","HTUB IN FENCED AREA;LIMITED PARKING;$200 PET DEPOS","This cozy prow-front 'A' Frame cabin features the perfect location for year round fun! Just on the outskirts of town but still only 10 minutes from fantastic Lake Tahoe beaches, downtown casino nightlife, and world class skiing at Heavenly Ski Resort, this wonderful cabin has a private hot tub, large living space with a rock fireplace, a 37' flat  screen TV, brand new leather sofas in 2007, and a secluded feel hiding in the woods.  Also, just across the street you will find wonderful hiking and biking trails through our National Forest or take a short 5 minute drive to 2 premiere golf courses in the summer and snowmobiling in winter. Come and enjoy this wonderful cabin any time year! Please note: The home does allow pets with a $200 deposit. VRP# 0380 ","","RENTAL  ","10/22/97","1/02/14","35","500","0","109.00","164.00","9746.10","6289.96","2157.65","43","0","0","0","0","0","0","0","va1005","Y","38.879789","-119.989725"
"CO H0874","SSO","3","2","1660","CO","3374 BEAVER BRAE","HTUB","WIFI","PETS","VIEW","WDSY","JACZ","NSMO","A ","0","8","PELLET","2D+2G","GAS","YES","150","629","208","1669","1","733","260","2033","1","733","260","2033","1","837","312","2397","1","993","390","2943","1","1253","520","3853","1","1Q","1Q1S","1Q1S","","","","Up  ","Down","Down","","","","Color","Color","Color","","","","http://fusion.realtourvision.com/74738","3374 BEAVER BRAE(CV)BEAUTIFUL HM, NICE MTN VIEWS","3 DECK;FENCED YD, PETS OK W/$200 DEP;NEWER CONSTRC","42'FLAT TV/LR;15 MIN=HEAV/SIERRA//20 MIN=KIRKWOOD","Absolutely wonderful new construction with a private hot tub, an upstairs living plan, 42' flat screen TV with stereo surround sound, pellet stove, high speed wireless internet and more!  The home sleeps 8 people comfortably, has a fenced in backyard and will allow pets with a $200 refundable deposit. Great  central ski location only 15 minutes to both Heavenly and Sierra-at-Tahoe Ski Resorts plus only 25 minutes to Kirkwood! This is one great home anytime of year! VRP# 1752 ","","RENTAL  ","11/21/12","8/08/13","35","500","0","142.00","213.00","9906.00","6438.90","829.83","30","4","0","0","0","0","0","0","va1005","Y","38.814915","-120.019411"
"CO H1003","SSO","4","2","2072","CO","2003 SUSQUEHANA DR.","HTUB","WDSY","NSMO","","","","","B+","1","12","GAS","2G+2D","GAS","YES","175","683","220","1783","1","793","275","2168","1","793","275","2168","1","903","330","2553","1","1069","413","3134","1","1343","550","4093","1","1Q","1Q","1Q","2Q2S","","","Up  ","Up  ","Up  ","Up  ","","","VCR  ","No   ","No   ","Color","","","http://fusion.realtourvision.com/36560","2003 SUSQUEHANA DR(OP)'3 STORY CHALET IN THE WOODS","W/HTUB&GAME ROOM W/AIR HOCKEY!;QHAB IN LR;42' FLAT","SCRN TV IN LR;GAS BBQ;NEW HARDWD&TILE FLRS;DIN/6;","Looking for a home to sleep 12 with a 42' Flat Screen TV, a game room with an Air Hockey Table, and a hot tub? Take a look at this wonderful home setup perfectly as a vacation  rental. This 3 story 'A' Frame style Tahoe cabin has everything you need for the perfect stay with brand new hardwood floors in the living room, new tile floors in the kitchen and bathrooms, completely remodeled bathrooms, brand new 42' flat screen TV, gas burning fireplace, and a brand new hot tub, all in 2008! Also, with the perfect location for year round fun, this home is sure to please.  Just 10 minutes to Heavenly Ski Resort and Lake Tahoe beaches, and just 10 to 15 minutes to 24 hour casino nightlife! Enjoy this wonderful cabin for your next trip to lake! VRP# 1474 ","","RENTAL  ","11/29/04","11/11/13","35","500","0","162.00","243.00","9579.21","6182.48","1469.40","29","7","0","0","2","0","0","90","va1005","Y","38.888902","-119.980800"
